,station,starttijd,stoptijd,locatie,hoogte,x_rd,y_rd,lat,lon,data
0,209,2001-01-30,2023-12-31,IJmond,0.0,95.9,497.6,52.465,4.518,False
1,225,1971-01-01,2023-12-31,IJmuiden,4.4,98.4,497.4,52.463,4.555,False
2,235,1906-01-01,2023-12-31,De Kooy,1.2,114.2,548.9,52.928,4.781,True
3,240,1951-01-01,2023-12-31,Schiphol,-3.3,114.2,481.1,52.318,4.79,True
4,242,1996-01-01,2023-12-31,Vlieland,10.8,123.8,583.7,53.241,4.921,False
5,248,1994-07-15,2023-12-31,Wijdenes,0.8,140.5,516.0,52.634,5.174,False
6,249,1999-03-12,2023-12-31,Berkhout,-2.4,127.3,517.2,52.644,4.979,True
7,251,1994-05-26,2023-12-31,Hoorn Terschelling,0.7,152.2,600.4,53.392,5.346,True
8,257,2001-04-30,2023-12-31,Wijk aan zee,8.5,101.7,502.1,52.506,4.603,True
9,258,2006-02-01,2023-12-31,Houtribdijk,7.3,155.9,517.7,52.649,5.401,False
10,260,1901-01-01,2023-12-31,De Bilt,1.9,140.8,456.6,52.1,5.18,True
11,267,1990-06-18,2023-12-31,Stavoren,-1.3,154.7,545.4,52.898,5.384,True
12,269,1990-01-17,2023-12-31,Lelystad,-3.7,164.0,496.5,52.458,5.52,True
13,270,1951-01-01,2023-12-31,Leeuwarden,1.2,179.3,581.8,53.224,5.752,True
14,273,1989-01-01,2023-12-31,Marknesse,-3.3,188.8,523.8,52.703,5.888,True
15,275,1951-01-01,2023-12-31,Deelen,48.2,188.2,451.8,52.056,5.873,True
16,277,1991-03-18,2023-12-31,Lauwersoog,2.9,209.0,603.0,53.413,6.2,True
17,278,1991-01-01,2023-12-31,Heino,3.6,214.2,494.3,52.435,6.259,True
18,279,1989-09-26,2023-12-31,Hoogeveen,15.8,235.0,529.6,52.75,6.574,True
19,280,1906-01-01,2023-12-31,Eelde,5.2,235.1,571.3,53.125,6.585,True
20,283,1989-10-16,2023-12-31,Hupsel,29.1,242.0,453.9,52.069,6.657,True
21,285,1981-01-01,2023-12-31,Huibertgat,0.0,221.9,621.2,53.575,6.399,False
22,286,1990-01-17,2023-12-31,Nieuw Beerta,-0.2,272.7,580.0,53.196,7.15,True
23,290,1951-01-01,2023-12-31,Twenthe,34.8,257.6,477.1,52.274,6.891,True
24,308,1972-01-01,2023-12-31,Cadzand,0.0,15.2,378.6,51.381,3.379,False
25,310,1906-01-01,2023-12-31,Vlissingen,8.0,30.4,385.0,51.442,3.596,True
26,312,1982-01-01,2023-12-31,Oosterschelde,0.0,33.1,421.2,51.8,3.6,False
27,313,1997-01-31,2023-12-31,Vlakte van de Raan,0.0,6.1,392.6,51.5,3.2,False
28,315,1997-01-31,2023-12-31,Hansweert,0.0,58.4,384.9,51.4,4.0,False
29,316,1983-01-01,2023-12-31,Schaar,0.0,37.8,408.7,51.7,3.7,False
30,319,1991-06-25,2023-12-31,Westdorpe,1.7,48.4,360.5,51.2,3.9,True
31,320,1980-11-03,2023-12-31,Lichteiland Goeree,22.0,36.9,438.8,51.9,3.7,False
32,321,1996-06-30,2023-12-31,Europlatform,19.0,9.9,447.5,52.0,3.3,False
33,324,1997-09-30,2023-12-31,Stavenisse,0.0,59.3,401.5,51.596,4.006,False
34,330,1971-01-01,2023-12-31,Hoek van Holland,11.9,68.1,445.4,51.992,4.122,True
35,331,1981-01-01,2023-12-31,Tholen,0.0,72.0,388.3,51.48,4.193,False
36,340,1993-04-01,2023-12-31,Woensdrecht,19.2,82.3,384.7,51.449,4.342,False
37,343,1991-01-01,2023-12-31,Rotterdam Geulhaven,3.5,81.0,434.2,51.893,4.313,False
38,344,1956-10-01,2023-12-31,Rotterdam,-4.3,90.4,441.7,51.962,4.447,True
39,348,1986-03-01,2023-12-31,Cabauw mast,-0.7,123.3,442.3,51.566,4.926,True
40,350,1951-01-01,2023-12-31,Gilze-Rijen,14.9,123.6,397.3,51.566,4.936,True
41,356,1989-09-26,2023-12-31,Herwijnen,0.7,138.3,429.8,51.859,5.146,True
42,370,1951-01-01,2023-12-31,Eindhoven,22.6,154.3,384.4,51.451,5.377,True
43,375,1951-02-01,2023-12-31,Volkel,22.0,177.1,407.7,51.659,5.707,True
44,377,1999-05-01,2023-12-31,Ell,30.0,181.2,356.3,51.198,5.763,True
45,380,1906-01-01,2023-12-31,Maastricht,114.3,181.3,323.9,50.906,5.762,True
46,391,1990-06-18,2023-12-31,Arcen,19.5,211.1,390.0,51.498,6.197,True
